A1, A2, C
2.5,4.5,T
2.8,4,T
1.1,1.2,T
1.1,3.4,T
2.4,2.3,T
1.2,4.1,T
2.6,3.6,T
1.2,4.2,T
1.7,3.2,T
1.3,3.6,T
2.7,4.7,T
1.5,2.2,T
1.5,1.3,T
1.5,1.6,T
1.6,3.2,T
1.7,2.5,T
1.8,2.3,T
1.8,4.1,T
1.9,3.9,T
1.9,2.6,T
2.2,3.5,T
2.2,1.8,T
2.4,1.9,T
2.4,3.6,T
2.5,3.1,T
1.3,1.6,T
1.4,2,T
1.2,2.9,T
1.3,3.4,T
1.4,4,T
2,5.7,F
2.1,4.9,F
2.2,5.5,F
2.3,4.6,F
2.4,5.3,F
2.5,4.7,F
2.6,5.3,F
2.7,5.2,F
2.8,4.1,F
2.9,4.2,F
3,3.8,F
3.2,3.7,F
3.1,2.6,F
3.3,5.6,F
3.4,5.3,F
3.5,4.7,F
3.6,5.2,F
3.1,4.5,F
3.2,4.7,F
3.3,4.5,F
3.4,3.6,F
3.5,3.1,F
3.6,3.8,F
3.7,3.8,F
2.8,4.6,F
3.9,5.7,F
4,2.6,F
4.1,2.4,F
4.2,2.4,F
4.3,2.3,F
